ID,Inclusion_Exlusion,Reason,Trial_phase,Trial_number,Trial_name,Tumor,Primary_outcome,PFS_primary_outcome,PFS_Registry,PFS_Protocol,PFS_Prespecified,PFS_Paper,PFS_Inconsistency,PFS_Reason,PFS_Free_comments,PFS_Blndeness,ORR_primary_outcome,ORR_Registry,ORR_Protocol,ORR_Prespecified,ORR_Paper,ORR_Inconsistency,ORR_Reason,ORR_Free_comments,ORR_Blndeness,Response_PFS,Response_ORR,title,journal,IF,year,authors,url,pubmed_id
2,Inclusion,,Phase 2,Not available,No name,Gastric and Gastroesophageal Junction Adenocarcinoma,ORR,No,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",Yes,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",,,A randomized phase II trial comparing capecitabine with oxaliplatin or docetaxel as first-line treatment in advanced gastric and gastroesophageal adenocarcinomas.,Medicine,1.89,2021,Ni L and Zhang W and Chen Y and Leng W and Gou H and Hu J and Qiu M,https://pubmed.ncbi.nlm.nih.gov/33907099/,33907099
3,Inclusion,,Phase 2,"UMIN000009886	",JBCRG‐19,Breast cancer,PFS,Yes,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",,,Clinical usefulness of eribulin as first- or second-line chemotherapy for recurrent HER2-negative breast cancer: a randomized phase II study (JBCRG-19).,International journal of clinical oncology,3.4,2021,Aogi K and Watanabe K and Kitada M and Sangai T and Ohtani S and Aruga T and Kawagichi H and Fujisawa T and Maeda S and Morimoto T and Sato N and Takao S and Morita S and Masuda N and Toi M and Ohno S,https://pubmed.ncbi.nlm.nih.gov/33891194/,33891194
4,Inclusion,,Phase 3,NCT02574455,ASCENT,Breast cancer,PFS,Yes,Only central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,No,Investigator + central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,,,Sacituzumab Govitecan in Metastatic Triple-Negative Breast Cancer.,The New England journal of medicine,91.25,2021,Bardia A and Hurvitz SA and Tolaney SM and Loirat D and Punie K and Oliveira M and Brufsky A and Sardesai SD and Kalinsky K and Zelnak AB and Weaver R and Traina T and Dalenc F and Aftimos P and Lynce F and Diab S and Cortｾｽｩs J and O'Shaughnessy J and Diｾｽｩras V and Ferrario C and Schmid P and Carey LA and Gianni L and Piccart MJ and Loibl S and Goldenberg DM and Hong Q and Olivo MS and Itri LM and Rugo HS,https://pubmed.ncbi.nlm.nih.gov/33882206/,33882206
5,Inclusion,,Phase 2,NCT02254785,No name,Prostate cancer,Clinical benefit rate,No,Unclear,No protocol,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Yes,Unclear,No protocol,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"Cabazitaxel versus abiraterone or enzalutamide in poor prognosis metastatic castration-resistant prostate cancer: a multicentre, randomised, open-label, phase II trial.",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Annala M and Fu S and Bacon JVW and Sipola J and Iqbal N and Ferrario C and Ong M and Wadhwa D and Hotte SJ and Lo G and Tran B and Wood LA and Gingerich JR and North SA and Pezaro CJ and Ruether JD and Sridhar SS and Kallio HML and Khalaf DJ and Wong A and Beja K and Schｾｽｶnlau E and Taavitsainen S and Nykter M and Vandekerkhove G and Azad AA and Wyatt AW and Chi KN,https://pubmed.ncbi.nlm.nih.gov/33836265/,33836265
6,Exclusion,Outcome,,,,,,,,,,,,,,,,,,,,,,,,,,"Health-related quality of life in patients with microsatellite instability-high or mismatch repair deficient metastatic colorectal cancer treated with first-line pembrolizumab versus chemotherapy (KEYNOTE-177): an open-label, randomised, phase 3 trial.",The Lancet. Oncology,41.32,2021,Andre T and Amonkar M and Norquist JM and Shiu KK and Kim TW and Jensen BV and Jensen LH and Punt CJA and Smith D and Garcia-Carbonero R and Sevilla I and De La Fouchardiere C and Rivera F and Elez E and Diaz LA Jr and Yoshino T and Van Cutsem E and Yang P and Farooqui M and Le DT,https://pubmed.ncbi.nlm.nih.gov/33812497/,33812497
7,Inclusion,,Phase 3,NCT01926236,ABC-06,Biliary tract cancer,OS,No,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,,,"Second-line FOLFOX chemotherapy versus active symptom control for advanced biliary tract cancer (ABC-06): a phase 3, open-label, randomised, controlled trial.",The Lancet. Oncology,41.32,2021,Lamarca A and Palmer DH and Wasan HS and Ross PJ and Ma YT and Arora A and Falk S and Gillmore R and Wadsley J and Patel K and Anthoney A and Maraveyas A and Iveson T and Waters JS and Hobbs C and Barber S and Ryder WD and Ramage J and Davies LM and Bridgewater JA and Valle JW,https://pubmed.ncbi.nlm.nih.gov/33798493/,33798493
8,Inclusion,,Phase 3,CTRI/2016/12/007605,No name,Non-small cell lung cancer,PFS,Yes,Unclear,Unclear,Unclear,Unclear,Consistent: unclear,,,"Probably, only blinded",No,Unclear,Only central,Only central,Unclear,Central or local in advance but unclear in paper,,,"Probably, only blinded",Only non-blinded,Only non-blinded,An Open-Label Randomized Controlled Trial Comparing the Efficacy and Safety of Pemetrexed-Carboplatin versus (Weekly) Paclitaxel-Carboplatin as First-Line Chemotherapy in Advanced Non-Squamous Non-Small Cell Lung Cancer.,Oncology,2.94,2021,Yadav A and Malik PS and Khurana S and Jain D and Vishnubhatla S and Yadav M and Pathy S and Mohan A and Kumar L,https://pubmed.ncbi.nlm.nih.gov/33735884/,33735884
9,Inclusion,,Phase 2,NCT02268695,GORTEC 2014-01 TPExtreme,Head and Neck Cancer,OS,No,Unclear,Unclear,Unclear,Only investigator,Unclear in advance but clear in paper,,,Only non-blinded,No,Only central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,,,"Cetuximab, docetaxel, and cisplatin versus platinum, fluorouracil, and cetuximab as first-line treatment in patients with recurrent or metastatic head and neck squamous-cell carcinoma (GORTEC 2014-01 TPExtreme): a multicentre, open-label, randomised, phase 2 trial.",The Lancet. Oncology,41.32,2021,Guigay J and Aupｾｽｩrin A and Fayette J and Saada-Bouzid E and Lafond C and Taberna M and Geoffrois L and Martin L and Capitain O and Cupissol D and Castanie H and Vansteene D and Schafhausen P and Johnson A and Even C and Sire C and Duplomb S and Evrard C and Delord JP and Laguerre B and Zanetta S and Chevassus-Clｾｽｩment C and Fraslin A and Louat F and Sinigaglia L and Keilholz U and Bourhis J and Mesia R,https://pubmed.ncbi.nlm.nih.gov/33684370/,33684370
10,Inclusion,,Phase 3,NCT02555657,KEYNOTE-119,Breast cancer,OS,No,Only central,Only central,Only central,Only central,Consistent,,,Only blinded,No,Only central,Only central,Only central,Only central,Consistent,,,Only blinded,,,"Pembrolizumab versus investigator-choice chemotherapy for metastatic triple-negative breast cancer (KEYNOTE-119): a randomised, open-label, phase 3 trial.",The Lancet. Oncology,41.32,2021,Winer EP and Lipatov O and Im SA and Goncalves A and Muｾｽｱoz-Couselo E and Lee KS and Schmid P and Tamura K and Testa L and Witzel I and Ohtani S and Turner N and Zambelli S and Harbeck N and Andre F and Dent R and Zhou X and Karantza V and Mejia J and Cortes J,https://pubmed.ncbi.nlm.nih.gov/33676601/,33676601
11,Inclusion,,Phase 3,NCT02631876,FORWARD I,Ovarian cancer,PFS,Yes,Investigator + central,No protocol,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,No,Only central,No protocol,Only central,Investigator + central,Central or local in advance but both in paper,,,Non-blinded + blinded,,,"Phase III, randomized trial of mirvetuximab soravtansine versus chemotherapy in patients with platinum-resistant ovarian cancer: primaryｾＢnalysis of FORWARD I.",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Moore KN and Oza AM and Colombo N and Oaknin A and Scambia G and Lorusso D and Konecny GE and Banerjee S and Murphy CG and Tanyi JL and Hirte H and Konner JA and Lim PC and Prasad-Hayes M and Monk BJ and Pautier P and Wang J and Berkenblit A and Vergote I and Birrer MJ,https://pubmed.ncbi.nlm.nih.gov/33667670/,33667670
